STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,UNIT_MEASURE,Unit of measure,RESOURCE,Resource,SEEA,Stocks and flows,CLASS,Class,TIME_PERIOD,Time period,OBS_VALUE,Observation value,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,GOLD,Gold,CLOSING,Closing stock,A,Commercially recoverable resources,2020,,2659,,0,Units
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,GOLD,Gold,CLOSING,Closing stock,A,Commercially recoverable resources,2021,,2709,,0,Units
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,IRON,Iron-Ore,DISCREPANCY,Discrepancies,A,Commercially recoverable resources,2013,,0,,9,Billions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,IRON,Iron-Ore,DISCREPANCY,Discrepancies,A,Commercially recoverable resources,2014,,0,,9,Billions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,IRON,Iron-Ore,DISCREPANCY,Discrepancies,A,Commercially recoverable resources,2015,,0,,9,Billions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,IRON,Iron-Ore,DISCREPANCY,Discrepancies,A,Commercially recoverable resources,2016,,0,,9,Billions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,IRON,Iron-Ore,DISCREPANCY,Discrepancies,A,Commercially recoverable resources,2017,,0,,9,Billions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,IRON,Iron-Ore,DISCREPANCY,Discrepancies,A,Commercially recoverable resources,2018,,0,,9,Billions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,IRON,Iron-Ore,DISCREPANCY,Discrepancies,A,Commercially recoverable resources,2019,,0,,9,Billions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,IRON,Iron-Ore,DISCREPANCY,Discrepancies,A,Commercially recoverable resources,2020,,0,,9,Billions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,IRON,Iron-Ore,DISCREPANCY,Discrepancies,A,Commercially recoverable resources,2021,,0,,9,Billions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,NICKEL,Nickel,EXTRACTIONS,Extractions,A,Commercially recoverable resources,2013,,0.218,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,NICKEL,Nickel,EXTRACTIONS,Extractions,A,Commercially recoverable resources,2014,,0.218,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,NICKEL,Nickel,EXTRACTIONS,Extractions,A,Commercially recoverable resources,2015,,0.225,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,NICKEL,Nickel,EXTRACTIONS,Extractions,A,Commercially recoverable resources,2016,,0.23,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,NICKEL,Nickel,EXTRACTIONS,Extractions,A,Commercially recoverable resources,2017,,0.206,,6,Millions
DATAFLOW,OECD.SDD.NAD.SEEA:DSD_NAT_RES@DF_NAT_RES(1.0),Mineral and Energy Resources,I,CAN,Canada,A,Annual,T,Tonnes,NICKEL,Nickel,EXTRACTIONS,Extractions,A,Commercially recoverable resources,2018,,0.176,,6,Millions
